,0
0,"[88.98338607594937, 95.53995253164557, 96.59810126582279, 97.24090189873418, 97.71558544303798, 96.88488924050633, 97.92325949367088, 98.11115506329114, 98.59572784810126, 98.62539556962025]"
1,"[81.25988924050633, 91.8117088607595, 95.75751582278481, 96.38053797468355, 97.91337025316456, 97.57713607594937, 97.90348101265823, 97.50791139240506, 98.02215189873418, 98.52650316455696]"
2,"[78.47112341772151, 95.98496835443038, 96.72666139240506, 97.24090189873418, 97.51780063291139, 97.84414556962025, 97.31012658227849, 98.02215189873418, 98.32871835443038, 98.0320411392405]"
3,"[61.985759493670884, 92.12816455696202, 94.79825949367088, 88.94382911392405, 95.50039556962025, 95.1443829113924, 96.00474683544304, 96.1629746835443, 94.62025316455696, 95.91574367088607]"
4,"[56.17088607594937, 90.99090189873418, 90.37776898734177, 88.3504746835443, 83.71242088607595, 87.16376582278481, 87.48022151898734, 85.44303797468355, 86.47151898734177, 85.8386075949367]"
5,"[28.283227848101266, 55.379746835443036, 44.986155063291136, 61.679193037974684, 46.4003164556962, 50.247231012658226, 52.34375, 46.04430379746835, 59.63212025316456, 45.77729430379747]"
6,"[10.957278481012658, 6.7147943037974684, 9.25632911392405, 12.786787974683545, 13.647151898734178, 15.229430379746836, 13.746044303797468, 14.626186708860759, 19.036787974683545, 20.619066455696203]"
7,"[5.8643196202531644, 1.5328322784810127, 1.0383702531645569, 1.206487341772152, 0.9295886075949367, 1.1669303797468353, 0.7318037974683544, 1.6712816455696202, 0.959256329113924, 0.6625791139240507]"
8,"[11.085838607594937, 1.1570411392405062, 1.0383702531645569, 1.740506329113924, 0.8405854430379747, 0.9295886075949367, 0.6428006329113924, 0.7219145569620253, 1.1471518987341771, 0.346123417721519]"
9,"[3.1744462025316458, 1.1669303797468353, 0.6428006329113924, 0.6625791139240507, 0.5142405063291139, 0.5043512658227848, 0.38568037974683544, 0.40545886075949367, 0.346123417721519, 0.3659018987341772]"
