dataset	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar
																		
0.1	17.55	33.85	20.45	65.06	71.43	23.46	94.25	80.35	40.35	93.85	79.95	42.15	94.35	80.6	9.7	93.6	79.6	41.25
																		
0.2	42.45	53.75	24.2	87.25	70.1	26.35	94.45	80.5	40.8	94.45	80.3	41.55	94.25	80.6	9.7	94.05	80.7	42.45
																		
0.5	63.6	46.5	18.7	78.01	67.09	32.45	85.6	78.15	36.55	91	78.8	37.75	91	78.5	9.7	91.75	78.35	37.95
																		
0.6	59.85	14.1	25.35	80.28	68.53	29.54	97.05	77.55	34.8	97.2	77.3	39.05	97.3	76.75	9.7	97.45	77.8	37.55
																		
0.7	31.1	50.15	18.15	76.85	67.99	24.58	96.95	76.75	28.55	96.9	76.95	34.2	97.1	76.85	9.7	96.85	76.55	34.6
																		
0.8	49.85	38.7	20.4	66.4	67.84	17.66	96.35	73.6	27.15	96.4	74.1	24.25	96.6	73.9	9.7	96.75	74.05	32.9
																		
