,0
0,"[51.0185917721519, 95.08504746835443, 96.21242088607595, 96.67721518987342, 97.57713607594937, 97.69580696202532, 97.70569620253164, 97.97270569620254, 98.45727848101266, 98.07159810126582]"
1,"[19.224683544303797, 85.38370253164557, 93.0379746835443, 94.25435126582279, 96.5684335443038, 96.08386075949367, 93.14675632911393, 97.36946202531645, 95.93552215189874, 98.05181962025317]"
2,"[24.22863924050633, 78.23378164556962, 86.90664556962025, 88.20213607594937, 85.52215189873418, 89.09216772151899, 88.64715189873418, 94.38291139240506, 95.32238924050633, 96.75632911392405]"
3,"[21.99367088607595, 52.66020569620253, 39.47784810126582, 49.34731012658228, 49.21875, 67.5929588607595, 33.3564082278481, 68.89833860759494, 75.55379746835443, 61.79786392405063]"
4,"[14.220727848101266, 47.24090189873418, 26.414161392405063, 48.62539556962025, 71.93433544303798, 64.17128164556962, 54.43037974683544, 47.91337025316456, 37.34177215189873, 52.076740506329116]"
5,"[15.110759493670885, 33.00039556962025, 47.695806962025316, 32.852056962025316, 14.982199367088608, 13.498813291139241, 16.40625, 10.680379746835444, 11.095727848101266, 25.425237341772153]"
6,"[16.98971518987342, 13.647151898734178, 20.460838607594937, 19.620253164556964, 29.02492088607595, 19.432357594936708, 32.17958860759494, 27.966772151898734, 24.179193037974684, 21.67721518987342]"
7,"[10.927610759493671, 19.363132911392405, 11.006724683544304, 11.16495253164557, 24.139636075949365, 31.062104430379748, 25.880142405063292, 22.933148734177216, 21.172863924050635, 31.299446202531644]"
8,"[14.972310126582279, 17.38528481012658, 18.384098101265824, 19.175237341772153, 21.370648734177216, 15.348101265822784, 14.695411392405063, 19.53125, 10.26503164556962, 21.973892405063292]"
9,"[9.760680379746836, 12.04509493670886, 10.808939873417721, 10.977056962025317, 15.51621835443038, 11.926424050632912, 15.199762658227849, 11.71875, 17.711629746835442, 17.345727848101266]"
