,0
0,"[64.80419303797468, 77.7492088607595, 81.28955696202532, 82.54549050632912, 83.92009493670886, 84.08821202531645, 85.23536392405063, 86.56052215189874, 86.49129746835443, 86.05617088607595]"
1,"[60.532041139240505, 74.00118670886076, 76.98773734177215, 81.05221518987342, 83.36629746835443, 82.95094936708861, 85.28481012658227, 83.95965189873418, 84.10799050632912, 83.92998417721519]"
2,"[55.57753164556962, 69.37302215189874, 75.80102848101266, 74.24841772151899, 79.1435917721519, 82.23892405063292, 83.98931962025317, 82.34770569620254, 82.08069620253164, 85.41337025316456]"
3,"[63.22191455696203, 67.85007911392405, 67.48417721518987, 71.1926424050633, 72.62658227848101, 72.95292721518987, 62.776898734177216, 69.3631329113924, 71.85522151898734, 75.86036392405063]"
4,"[29.430379746835442, 49.16930379746835, 36.93631329113924, 46.42998417721519, 58.920094936708864, 64.85363924050633, 58.54430379746835, 45.21360759493671, 49.88132911392405, 57.100474683544306]"
5,"[30.854430379746834, 33.17840189873418, 40.714003164556964, 64.59651898734177, 44.68947784810127, 42.31606012658228, 21.281645569620252, 10.334256329113924, 21.706882911392405, 18.225870253164558]"
6,"[14.527294303797468, 22.44857594936709, 40.06131329113924, 33.80142405063291, 43.04786392405063, 36.580300632911396, 42.4940664556962, 50.870253164556964, 31.962025316455698, 31.24011075949367]"
7,"[11.105617088607595, 18.067642405063292, 10.779272151898734, 11.649525316455696, 23.55617088607595, 13.17246835443038, 16.60403481012658, 21.598101265822784, 15.990901898734178, 29.331487341772153]"
8,"[18.463212025316455, 18.275316455696203, 23.526503164556964, 15.684335443037975, 33.46518987341772, 33.00039556962025, 26.631724683544302, 36.38251582278481, 26.384493670886076, 25.20767405063291]"
9,"[12.282436708860759, 15.17998417721519, 12.60878164556962, 14.141613924050633, 17.266613924050635, 15.110759493670885, 14.18117088607595, 13.844936708860759, 11.115506329113924, 17.72151898734177]"
