dataset	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar
																		
0.1	93.9	80.7	42.1	98.63	87.24	44.39	94.5	81.15	41.2	94.65	80.7	42.2	94.65	81.05	9.7	94.25	80.5	41.85
																		
0.2	94.2	80.75	40.45	97.93	86.15	35.82	94.1	80.95	41.9	93.8	80.45	40.4	94.15	81.1	9.7	94.2	80.8	41.6
																		
0.3	93.8	81	41.25	97.4	87.04	34.59	94.3	81.3	42.05	94.25	81.05	42	94.3	81.05	9.7	94.15	81.25	41.6
																		
0.4	93.7	80.55	40	81.12	82.56	30.42	94.15	80.75	40.5	94.3	80.35	41.8	94.55	80.65	9.7	94.15	80.2	41.75
																		
0.5	42.45	53.75	24.2	87.25	70.1	30.06	94.45	80.5	40.8	94.45	80.3	41.55	94.25	80.6	9.7	94.05	80.7	42.45
																		
0.6	2.6	0.15	5.25	18.43	10.11	8.67	93.65	78.6	39.4	93.85	79.8	41.3	93.55	80.35	9.7	93.9	80.95	41.45
																		
0.7	1.8	0.15	3.8	47.18	9.87	10.81	94.05	77.85	40.1	93.8	80.5	41.2	93.95	80.6	9.7	94.05	81.05	41.4
																		
0.8	1.65	0.15	4.05	0.51	0.23	4.16	94.1	78.35	37.25	93.7	79.7	39.5	93.75	81.4	9.7	93.8	80	39.65
																		
0.9	1.55	0.15	3.35	0.57	0.25	4.65	91.8	78.15	33.8	93.9	79.7	37.8	93.85	79.95	9.7	94	80.05	36.55
																		
