,0
0,"[74.72310126582279, 79.10403481012658, 82.7136075949367, 83.3564082278481, 85.14636075949367, 85.87816455696202, 86.6198575949367, 86.76819620253164, 87.69778481012658, 88.23180379746836]"
1,"[70.2432753164557, 76.7998417721519, 80.34018987341773, 82.61471518987342, 85.10680379746836, 85.79905063291139, 86.01661392405063, 87.17365506329114, 87.20332278481013, 87.60878164556962]"
2,"[59.60245253164557, 76.8690664556962, 80.52808544303798, 83.65308544303798, 84.12776898734177, 84.25632911392405, 86.20450949367088, 86.0067246835443, 86.73852848101266, 87.1242088607595]"
3,"[68.87856012658227, 76.05814873417721, 79.72705696202532, 81.3488924050633, 83.6629746835443, 84.52333860759494, 85.9375, 86.4121835443038, 85.84849683544304, 86.54074367088607]"
4,"[62.44066455696203, 76.14715189873418, 78.86669303797468, 79.05458860759494, 77.66020569620254, 81.0126582278481, 80.25118670886076, 72.42879746835443, 73.68473101265823, 76.42405063291139]"
5,"[59.375, 27.521756329113924, 46.84533227848101, 39.339398734177216, 52.620648734177216, 40.298655063291136, 42.642405063291136, 39.84375, 54.52927215189873, 21.578322784810126]"
6,"[13.05379746835443, 3.4612341772151898, 8.71242088607595, 6.902689873417722, 2.096518987341772, 7.535601265822785, 7.3477056962025316, 5.765427215189874, 16.149129746835442, 10.512262658227849]"
7,"[0.3659018987341772, 0.29667721518987344, 0.27689873417721517, 0.2867879746835443, 0.4153481012658228, 0.7911392405063291, 0.3560126582278481, 0.524129746835443, 0.6428006329113924, 0.5537974683544303]"
8,"[0.524129746835443, 0.23734177215189872, 0.25712025316455694, 0.3560126582278481, 0.30656645569620256, 0.29667721518987344, 0.27689873417721517, 0.27689873417721517, 0.26700949367088606, 0.19778481012658228]"
9,"[0.6230221518987342, 0.23734177215189872, 0.15822784810126583, 0.16811708860759494, 0.16811708860759494, 0.10878164556962025, 0.12856012658227847, 0.13844936708860758, 0.14833860759493672, 0.13844936708860758]"
