dataset	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar
																		
0.1	94.25	80.2	41.95	81.43	77.33	25.76	93.9	79.9	41.15	94.2	79.55	41.35	94.5	79.9	9.7	93.9	79.5	40.75
																		
0.2	94.05	81.2	41.35	40.06	76.94	23.94	94	80.9	41.65	94.35	80.4	40.3	94.3	80.55	9.7	94.15	80.5	40.85
																		
0.5	91.2	77.9	38.1	77.04	80.36	25.65	91.7	78.15	38.05	91.45	77.95	37.75	91.1	77.95	9.7	90.9	78.35	37.55
																		
0.6	97.65	77.6	37.4	37.51	69.56	30.72	97.25	77.5	37.4	97.6	77.2	39.4	97.35	77	9.7	97.5	76.85	37.85
																		
0.7	96.8	76.5	36.15	40.57	73.95	23.96	96.7	76.6	35.1	96.95	76.95	34.45	97	76.5	9.7	96.9	76.7	36.7
																		
0.8	96.45	74.25	30.7	58.22	60.83	9.94	96.65	74.3	34.1	96.7	74.1	24.6	96.35	73.75	9.7	96.6	74.65	34.8
																		
