,0
0,"[71.57832278481013, 79.35126582278481, 81.9620253164557, 83.73219936708861, 83.48496835443038, 86.3429588607595, 86.67919303797468, 87.41099683544304, 87.21321202531645, 88.15268987341773]"
1,"[68.59177215189874, 77.21518987341773, 79.2820411392405, 82.68393987341773, 82.65427215189874, 84.49367088607595, 85.44303797468355, 86.16495253164557, 86.3429588607595, 86.9560917721519]"
2,"[70.51028481012658, 79.01503164556962, 81.0126582278481, 82.83227848101266, 83.36629746835443, 84.50356012658227, 84.07832278481013, 85.01780063291139, 85.0573575949367, 85.92761075949367]"
3,"[60.33425632911393, 73.90229430379746, 78.52056962025317, 80.43908227848101, 79.3809335443038, 77.55142405063292, 80.5379746835443, 80.58742088607595, 82.96083860759494, 79.16337025316456]"
4,"[58.46518987341772, 66.52492088607595, 64.54707278481013, 68.74011075949367, 71.43987341772151, 70.6190664556962, 75.28678797468355, 78.4315664556962, 75.95925632911393, 74.68354430379746]"
5,"[42.464398734177216, 57.44659810126582, 55.636867088607595, 53.00632911392405, 59.59256329113924, 63.49881329113924, 67.58306962025317, 66.40625, 69.62025316455696, 66.83148734177215]"
6,"[14.576740506329115, 22.260680379746834, 28.293117088607595, 27.976661392405063, 37.776898734177216, 57.327927215189874, 51.028481012658226, 52.15585443037975, 48.18037974683544, 49.50553797468354]"
7,"[30.68631329113924, 23.259493670886076, 25.89003164556962, 25.692246835443036, 25.11867088607595, 40.694224683544306, 46.944224683544306, 43.07753164556962, 57.38726265822785, 49.624208860759495]"
8,"[10.9375, 25.53401898734177, 19.21479430379747, 19.452136075949365, 29.064477848101266, 29.914952531645568, 29.341376582278482, 31.78401898734177, 25.148338607594937, 34.6123417721519]"
9,"[21.113528481012658, 22.359572784810126, 21.607990506329113, 17.790743670886076, 18.918117088607595, 21.53876582278481, 20.915743670886076, 18.75988924050633, 18.235759493670887, 17.889636075949365]"
