dataset	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar	mnist	fashion	cifar

0.1	94.3	80.85	42.15	98.64	88.25	38.4	94.4	80.9	42.3	94.15	80.15	42.15	94.65	80.6	9.7	94.55	80.85	42.2
																		
0.2	93.95	81.35	41.3	95.71	82.82	36.91	93.75	80.3	41.7	94.05	80.7	42.1	94.5	80.5	9.7	94.1	80.6	40.15
																		
0.3	94.15	81	41.95	83.92	84.74	28.36	94.15	81.1	41.05	94.25	81.05	40.8	94.3	80.35	9.7	94.35	81.05	41.6
																		
0.4	94.25	79.95	42.4	15.11	79.27	21.2	94.65	80.4	42.05	94.1	80.35	41.9	94.5	80.9	9.7	94.5	80.75	41.15
																		
0.5	94.05	81.2	41.35	40.06	76.94	27.15	94	80.9	41.65	94.35	80.4	40.3	94.3	80.55	9.7	94.15	80.5	40.85
																		
0.6	93.45	80.3	40.2	61.5	59.52	19.4	93.9	80.45	40.6	93.4	80.7	41.25	93.7	80.8	9.7	94	80.9	40.3
																		
0.7	94	80.5	39.25	40.43	68.66	18.21	93.6	80.65	40.7	94.1	80.55	40.65	93.9	80.4	9.7	93.45	80.75	40.75
																		
0.8	93.15	80.35	20.85	9.76	53.83	10.55	94.2	81.15	39.45	93.85	80.6	39.1	93.8	81.15	9.7	93.9	81.6	40.05
																		
0.9	81.6	79.4	3.75	17.2	36.25	9.88	93.4	80.25	36.8	94.2	80.4	39.55	94.1	79.95	9.7	93.9	80.6	38.15
																		
