,0
0,"[83.32674050632912, 96.25197784810126, 96.9738924050633, 97.06289556962025, 97.47824367088607, 98.00237341772151, 98.27927215189874, 98.44738924050633, 98.5363924050633, 98.69462025316456]"
1,"[84.45411392405063, 93.62143987341773, 94.71914556962025, 96.48931962025317, 95.6190664556962, 97.19145569620254, 97.53757911392405, 97.83425632911393, 98.0320411392405, 98.09137658227849]"
2,"[81.28955696202532, 83.43552215189874, 89.59651898734177, 86.72863924050633, 88.42958860759494, 94.3631329113924, 93.9181170886076, 87.41099683544304, 96.37064873417721, 95.49050632911393]"
3,"[32.03125, 92.93908227848101, 86.11550632911393, 61.313291139240505, 57.298259493670884, 66.06012658227849, 60.37381329113924, 61.54074367088607, 62.29232594936709, 79.13370253164557]"
4,"[44.046677215189874, 43.33465189873418, 48.9814082278481, 48.69462025316456, 50.0, 49.11985759493671, 49.960443037974684, 73.99129746835443, 54.361155063291136, 63.46914556962025]"
5,"[40.44699367088607, 86.70886075949367, 49.723101265822784, 62.83623417721519, 42.10838607594937, 43.680775316455694, 40.357990506329116, 36.441851265822784, 31.507120253164558, 44.798259493670884]"
6,"[34.543117088607595, 24.634098101265824, 35.60126582278481, 35.51226265822785, 33.75197784810127, 31.58623417721519, 41.317246835443036, 46.19264240506329, 30.79509493670886, 37.78678797468354]"
7,"[17.929193037974684, 23.833069620253166, 27.56131329113924, 27.54153481012658, 31.091772151898734, 29.67761075949367, 30.656645569620252, 17.474287974683545, 23.11115506329114, 21.29153481012658]"
8,"[13.103243670886076, 15.872231012658228, 14.250395569620252, 22.606803797468356, 15.17998417721519, 19.19501582278481, 23.931962025316455, 25.712025316455698, 27.037183544303797, 22.636471518987342]"
9,"[9.770569620253164, 16.366693037974684, 21.607990506329113, 10.759493670886076, 10.759493670886076, 11.639636075949367, 14.853639240506329, 9.523338607594937, 13.409810126582279, 16.238132911392405]"
